Hoofdcategorie;Subcategorie;omschr_opleidingshoofdcategorie_nl;omschr_opleidingssubcategorie_nl;benaming
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Fiabilité à la conception
2;23;kunst en menswetenschappen;talen;Engels voor Aziatische medewerkers
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Formation de chefs de production, analystes du travail, initiation à l’informatique appliquée à la confection, …
9;91;welzijn en gezondheid;gezondheid;Basismodule voor verzorgenden, Oudenaarde
4;41;handel, administratie en recht;handel en administratie;Project Management Fundamentals.
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Hypnose thérapeutique
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);ERP base
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Gedragstherapie voor kinderen en jongeren
4;42;handel, administratie en recht;recht;Schakelprogramma: master rechten
1;11;onderwijs;onderwijs;Basic training ATSE
0;1;algemene programma's en kwalificaties;basisprogramma's en -kwalificaties;A39 Werkvoorbereiding (basis)
7;72;techniek, fabricage en constructie;fabricage en verwerking;Service Vaten (40u)
9;91;welzijn en gezondheid;gezondheid;Permanente vorming Geestelijke Gezondheidszorg en Psychiatrie M1 : Herstel en rehabilitatie
2;21;kunst en menswetenschappen;kunst;Postgraduaat C.R.E.A. - tainment
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Design Engineering
7;72;techniek, fabricage en constructie;fabricage en verwerking;Bedrukken van folie
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;On the jobopleid lader-losser
7;71;techniek, fabricage en constructie;techniek en technische beroepen;SIEMENS: PROFIBUS IO
9;91;welzijn en gezondheid;gezondheid;Qualification professionnelle particulière d'infirmier ayant une expertise particulière en santé mentale et psychiatrie
9;91;welzijn en gezondheid;gezondheid;Posthogeschoolvorming Stralingsprotectie en dosimetrie
4;41;handel, administratie en recht;handel en administratie;Opleiding nieuwe bediende
9;91;welzijn en gezondheid;gezondheid;Permanente vorming: Overgangsmaatregelen Beroepstitel peri-operatieve zorg
9;91;welzijn en gezondheid;gezondheid;Professionnelle en shiatsu
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Formation de base de conseiller en prévention
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;OTJ OPLEIDING TROUBLESHOOTING MEASURING DEVICES (Z4796)
9;91;welzijn en gezondheid;gezondheid;Les soins palliatifs - un module de 50h parmi les 150 heures
7;71;techniek, fabricage en constructie;techniek en technische beroepen;CNC bewerkingscentrum instellen/bedienen
9;91;welzijn en gezondheid;gezondheid;Basismodule verzorgenden, Hasselt en Retie
10;104;diensten;transportdiensten;Opleiding ADR
4;41;handel, administratie en recht;handel en administratie;Kwaliteitsbeheersing (Bedrijfsinterne opleiding bij LIMEPARTS NV)
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Autocad - basis
4;41;handel, administratie en recht;handel en administratie;Project and Account Engineer (Bedrijfsinterne opleiding bij Alro NV)
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Vivre et comprendre le changement
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Team-coach
7;72;techniek, fabricage en constructie;fabricage en verwerking;IFS 1d
9;92;welzijn en gezondheid;welzijn;Postgraduaatsopleiding vroegdetectie en vroegbegeleiding van kinderen met ontwikkelingsstoornissen
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;sensibilisering nucleaire veiligheidscultuur contractanten
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Hygiène et sécurité alimentaire - HACCP
7;71;techniek, fabricage en constructie;techniek en technische beroepen;van operator naar onderhoudstechnieker basis
4;41;handel, administratie en recht;handel en administratie;PI1 – professioneel inkopen – van analyse tot inkoop – actieplan
9;91;welzijn en gezondheid;gezondheid;Introductiereeks voor verzorgenden
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;VEILIGHEID EN WELZIJN ARBEIDERS
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Siemens S7: S7 Safety
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Afkortzaag instellen/bedienen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Tôlerie
2;23;kunst en menswetenschappen;talen;DEUTCH A2
9;92;welzijn en gezondheid;welzijn;Bachelor in het sociaal werk: SWITCH traject (deeltijds traject)
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;NVH Short Course
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;OTJ PUNCH ZACHTE LIJN (Z-4792)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Onderhoud 2-takmotoren - basis 2d
10;104;diensten;transportdiensten;OPL. POOLMEDEWERKWERS : CONTROLEUR R EN BB
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Internationale samenwerking Noord-Zuid
4;41;handel, administratie en recht;handel en administratie;Adviseur waterbeheer
9;91;welzijn en gezondheid;gezondheid;Permanente vorming operatiezaalverpleegkundige/chirurgisch dagcentrum
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Aanleggen van vijvers 1d
2;22;kunst en menswetenschappen;menswetenschappen behalve talen;Maatschappijoriëntatie: Cultuur
2;21;kunst en menswetenschappen;kunst;Cinema 4D - Photoréalisme
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Elektriciteit basis
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Bedienen blaasextrusielijn
4;41;handel, administratie en recht;handel en administratie;People and Business Management Learning Program - PBM2
9;91;welzijn en gezondheid;gezondheid;Beroepsopleiding module zorgkundige
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Veilig werken met e kettingzaag 1 voll d
4;41;handel, administratie en recht;handel en administratie;Internationale uitdagingen en internationale vakbondsactie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;LIJNBEVOORRADER - 117U
9;91;welzijn en gezondheid;gezondheid;Posthogeschoolvorming menopauzeconsulent 1e deel
4;41;handel, administratie en recht;handel en administratie;Uitoefening van een mandaat in een overlegorgaan: de syndicale delegatie (4de jaar)
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Informatica Informatique Planningsoftware
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Basisopleidingsplan nieuwe RTO/S-list Engineers.
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Brandpreventie en - bestrijding 0,5 dag
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Travail du cuivre et brasage pour installations frigorifiqu
2;21;kunst en menswetenschappen;kunst;Naaien
9;91;welzijn en gezondheid;gezondheid;PG 'Peri-operatieve Anesthesie-OK Anesthesieverpleegkundigen'
7;71;techniek, fabricage en constructie;techniek en technische beroepen;MECHANIEKER
7;72;techniek, fabricage en constructie;fabricage en verwerking;Steenkappen en marmerbewerken
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Automates programmables Allen-Bradley - programmation de bases
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Chef gastro-engineering
2;23;kunst en menswetenschappen;talen;NEDERLANDS - 66 u
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Mindfulness voor hulpverleners
7;72;techniek, fabricage en constructie;fabricage en verwerking;Restauratievakman marqueterie
4;41;handel, administratie en recht;handel en administratie;Basiskennis bedrijfsbeheer
4;41;handel, administratie en recht;handel en administratie;E-BBH (e-Basiskennis bedrijfsbeheer)
9;91;welzijn en gezondheid;gezondheid;Pratique soignante en santé mentale et psychiatrie de l'adulte
10;103;diensten;veiligheidsdiensten;Opleiding safety en security in de luchtvaart
7;73;techniek, fabricage en constructie;architectuur en constructie;Sanitaire & elektronische toestellen installeren (i.f.v. interieurbouw)
7;72;techniek, fabricage en constructie;fabricage en verwerking;WORKSHOP KVP - 56 u
4;41;handel, administratie en recht;handel en administratie;Adviserend verkopen: van voorstel tot effectieve verkoop op lange termijn
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);BACKUPS EN DIVERSE 840 SL
2;21;kunst en menswetenschappen;kunst;Animatie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Ingénieur international et soudage
9;92;welzijn en gezondheid;welzijn;Postgraduaat Cultuurmanagement
9;91;welzijn en gezondheid;gezondheid;Postgraduaat Massage- en bewegingsleer
7;71;techniek, fabricage en constructie;techniek en technische beroepen;G1.2 Leidingen en toestellen
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;Toegepaste biologische wetenschappen: rurale ontwikkeling
9;91;welzijn en gezondheid;gezondheid;Palliatieve zorg
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Techniek en onderhoud Technique et maintenance TPM
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Partnerrelatietherapie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Onderhoud van 2- en 4-taktmotoren (exc. Kettingzaag)
9;91;welzijn en gezondheid;gezondheid;Thanatopractor
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité HACCP Teamopleiding
7;71;techniek, fabricage en constructie;techniek en technische beroepen;LPG-installateur
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Dbase inleiding programmeren met toepassing personeelsadministratie
9;91;welzijn en gezondheid;gezondheid;basisopleiding dringende geneeskundige hulpverlening
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;EXT_Expert en Détection incendie (A-First)
7;72;techniek, fabricage en constructie;fabricage en verwerking;Confectioneur van dameskleding
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;On the jobopleid spuiter
9;91;welzijn en gezondheid;gezondheid;Bachelor verpleegkunde - Brugopleiding 150 studiepunten
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;OTJ Machineopleiding - 72 u
7;72;techniek, fabricage en constructie;fabricage en verwerking;Handwever
9;92;welzijn en gezondheid;welzijn;Relatie- en Gezinstherapie
9;91;welzijn en gezondheid;gezondheid;Professionneel gerichte bachelorsopleiding in de verpleegkunde
9;91;welzijn en gezondheid;gezondheid;verkorte opleidingstraject van gebrevetteerde / gediplomeerde verpleegkundige naar bachelor in de verpleegkunde 2de jaarprogramma
2;21;kunst en menswetenschappen;kunst;Kunsten: muziek
10;101;diensten;persoonlijke diensten;Schoonheidsspecialist
7;73;techniek, fabricage en constructie;architectuur en constructie;Plaatsen van glas
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Hersteller bruingoed
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;59. Afstellen van ploegen en meststofstrooiers
7;72;techniek, fabricage en constructie;fabricage en verwerking;Opleiding nieuwe zaagmachine HD-X
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Electroérosion par défonçage
9;91;welzijn en gezondheid;gezondheid;Radioprotection RXchwapi
7;72;techniek, fabricage en constructie;fabricage en verwerking;Techniques de base liées à un nouveau processus de fabrication du verre trempé solaire
9;91;welzijn en gezondheid;gezondheid;Bachelier en Soins infirmiers
2;23;kunst en menswetenschappen;talen;Engels richtgraad 3
7;73;techniek, fabricage en constructie;architectuur en constructie;Planlezen en uitzetten
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Vorkliftopleiding (32 u)
7;73;techniek, fabricage en constructie;architectuur en constructie;Wegenbouwer - Signalisatie
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Basiscursus Preventieadviseur (Bedrijfsinterne opleiding bij Hengelhoef Concrete Joints Manufacturing)
5;54;natuurwetenschappen, wiskunde en statistiek;wiskunde en statistiek;Statistische data-analyse
9;91;welzijn en gezondheid;gezondheid;Postgraduaat geriatrische verpleegkunde
9;91;welzijn en gezondheid;gezondheid;Bachelor in de Verpleegkunde via hogeschoolbrug A2>A1
9;92;welzijn en gezondheid;welzijn;Bachelor-na-bachelor in de pediatrie en neonatologie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;praktijk motorzaag volgens ECS2-basis veiling van bomen dunner dan de lengte van het zaagblad (max. 38cm)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Techniques de résolutions de problèmes
9;91;welzijn en gezondheid;gezondheid;Bachelor in de verpleegkunde buiten de kantooruren: HERO-traject (basisopleiding verpleegkunde)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Meet- en regeltechniek : drukmeting, debietmeting, temperatuurmeting, niveau
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Opleiding in (nieuwe) technologieën ter verbetering van de kwaliteit van productie en arbeid, in het kader van een vernieuwe bderijfsaanpak- en filosofie
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;On the jobopleid onderhoud
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Fietsvakhandelaar
2;23;kunst en menswetenschappen;talen;Acceuillir et conseiller les clients en Anglais - Module 4
5;50;natuurwetenschappen, wiskunde en statistiek;natuurwetenschappen, wiskunde en statistiek;Fusion Science and Engineering
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Snoeitechnieken 2d
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);MCSA
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Maintenance Industrielle pour ventilateurs
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Arbeidswelzijn Bien-être au travail Technische beveiliging van machines
10;101;diensten;persoonlijke diensten;Dienstverlening
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Deeskalation und Gewaltprävention
10;103;diensten;veiligheidsdiensten;Forensic Odontology
7;71;techniek, fabricage en constructie;techniek en technische beroepen;VCE AK OUTBOUND
7;72;techniek, fabricage en constructie;fabricage en verwerking;Slager-spekslager
4;41;handel, administratie en recht;handel en administratie;Advanced Warehouse Management
9;91;welzijn en gezondheid;gezondheid;VGL-Gezondheidsconsulent
7;72;techniek, fabricage en constructie;fabricage en verwerking;Bedienaar verniswasl(giet)machine
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Mastercam fraisage
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Brandpreventie en -bestrijding 0,5 dag
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Usinage: forage, filetage, taraudage
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Preventie arbeidsongevallen en veilig omgaan met machines met gratis risicoanalyse op het bedrijf (tuinaanleg, tuinbouw of landbouw-loonwerk (e-learning)
4;41;handel, administratie en recht;handel en administratie;MANAGEMENT - Analyse des données
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Basisopleiding EHBO
4;41;handel, administratie en recht;handel en administratie;Certificat universitaire d’initiation en actuariat
9;91;welzijn en gezondheid;gezondheid;Bachelor in de verpleegkunde - verkorte opleiding voor HBO5-verpleegkundigen
4;41;handel, administratie en recht;handel en administratie;Leidinggeven (Bedrijfsinterne opleiding bij ALURAL LUMMEN NV)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;VAKBEKWAAM ELECKTROTECHNICUS VOERTUIGELEKTRICITEIT (EFK) - 40 u
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Advanced Business Studies
2;23;kunst en menswetenschappen;talen;Nederlands op de werkvloer >= 32u
10;103;diensten;veiligheidsdiensten;Gardien de patrimoine - attestation de compétence générale agent de gardiennage
7;72;techniek, fabricage en constructie;fabricage en verwerking;Cutting optimizer -modulair
9;92;welzijn en gezondheid;welzijn;Capita Selecta in de residentiële ouderenzorg
2;23;kunst en menswetenschappen;talen;module 671 taal vervolmaking Frans
9;92;welzijn en gezondheid;welzijn;Beheerder woonzorgcentrum BHG
7;71;techniek, fabricage en constructie;techniek en technische beroepen;LAB CONTROLEUR - 117U
4;41;handel, administratie en recht;handel en administratie;Leidinggeven en communicatie (basisopleiding)
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;The looking glass experience for leading leaders
0;0;algemene programma's en kwalificaties;algemene programma's en kwalificaties;Bijscholingsattest leidinggevend personeel
7;73;techniek, fabricage en constructie;architectuur en constructie;Hervoegen - cementeren
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Pneumatique de base
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Nacelle hydraulique
9;91;welzijn en gezondheid;gezondheid;Recherche et esprit scientifique dans le domaine des soins. L'enjeu des  travaux de fin de formation
7;71;techniek, fabricage en constructie;techniek en technische beroepen;OPERATOR KOUDWALS - 120 u
7;72;techniek, fabricage en constructie;fabricage en verwerking;Productontwikkelaar in de voedingsnijverheid
9;91;welzijn en gezondheid;gezondheid;Postgraduaat neurogene communicatiestoornissen
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Veilig werken met de kettingzaag 1 volledige dag
9;92;welzijn en gezondheid;welzijn;Postgraduaat Leiderschap in Zorg
5;52;natuurwetenschappen, wiskunde en statistiek;milieu;Toegepaste biologische wetenschappen: landbouwkunde
7;71;techniek, fabricage en constructie;techniek en technische beroepen;FANUC : perfectionnement
10;101;diensten;persoonlijke diensten;Bij- en nascholing sportvoedingsadvies op maat geven - sportdiëtetiek
9;91;welzijn en gezondheid;gezondheid;Permanente vorming pediatrie en neonatologie module 3A
7;72;techniek, fabricage en constructie;fabricage en verwerking;Formation de base en industrie sucrière
4;41;handel, administratie en recht;handel en administratie;SALES REPRESENTATIVE LEARNING PROGRAM
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Certificaat van het actualisatie-examen over koeltechniek categorie III
7;72;techniek, fabricage en constructie;fabricage en verwerking;Opleiding operator voedingsnijverheid
2;23;kunst en menswetenschappen;talen;Talen (2 programma's)
4;41;handel, administratie en recht;handel en administratie;Créer/faire vivre : une gestion des compétences
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Feedback geven 1d
4;41;handel, administratie en recht;handel en administratie;Competentiemanagement Management des compétences Wat is leer- en competentiemanagement ?
9;92;welzijn en gezondheid;welzijn;Senior: approfondisement et développement des techniques d'évaluation et de méthodes d'intervention psychosociale
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Lecture de schémas électriques
5;51;natuurwetenschappen, wiskunde en statistiek;biologische wetenschappen en aanverwanten;Certificat universitaire en gérontologie
9;91;welzijn en gezondheid;gezondheid;psychiatrie et santé mentale: saison 3 Le Soclecare - prendre soin en psychiatrie
9;91;welzijn en gezondheid;gezondheid;Postgraduaat bijzondere beroepestitel verpleegkundige in de stomazorg, wondzorg en het weefselherstel 
4;41;handel, administratie en recht;handel en administratie;Communiquer efficacement pour mieux collaborer
9;92;welzijn en gezondheid;welzijn;Verzorgende
7;72;techniek, fabricage en constructie;fabricage en verwerking;Darmverwerking naar operatiedraad
4;41;handel, administratie en recht;handel en administratie;Communication débutants, niveau 2
9;91;welzijn en gezondheid;gezondheid;Bachelor in de verpleegkunde (brugprogramma)
4;41;handel, administratie en recht;handel en administratie;Secrétariat
2;21;kunst en menswetenschappen;kunst;Modo - Initiation
4;42;handel, administratie en recht;recht;Schakelprogramma: rechten (GO)
9;91;welzijn en gezondheid;gezondheid;Tandheelkunde
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Solidworks : perfectionnement
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;permanente vorming psychoanalytische therapie met volwassenen en jongeren vanuit freudiaans-lacaniaans perspectief
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Vlees: Varia: Labelling
7;72;techniek, fabricage en constructie;fabricage en verwerking;Technicus in fermentatieprocessen - Destillaten en Likeuren
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité Training leveranciersaudit
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Routeur et Switch Cisco - Labo de configuration
7;73;techniek, fabricage en constructie;architectuur en constructie;Plan lezen en uitzetten
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Technieker landbouwmechanisatie Deel (2dejaar)
8;82;land- en bosbouw, visserij en dierengeneeskunde;bosbouw;Vellen van bomen
9;92;welzijn en gezondheid;welzijn;Postgraduaat sociale gezondheidszorg
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Motiverend leidinggeven en emotionele intelligentie
10;101;diensten;persoonlijke diensten;Chocoladeproductie
9;92;welzijn en gezondheid;welzijn;Formation Senior 1 de Base - La psychopathologie du sujet âgé vivant à domicile : conséquences, prévention et gestion
2;23;kunst en menswetenschappen;talen;Duits/Allemand
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Werkattitude 1d
7;72;techniek, fabricage en constructie;fabricage en verwerking;Module bediener/insteller alleskunner, frees- en profileerstraat
9;92;welzijn en gezondheid;welzijn;Postgraduaat Autisme, een methodische benadering
4;41;handel, administratie en recht;handel en administratie;QUALITE - Conduite de projet
10;104;diensten;transportdiensten;Intern transport, heffen en tillen
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Opleiding 'Mentorschap'
10;104;diensten;transportdiensten;Mobiele arbeidsmiddelen
9;91;welzijn en gezondheid;gezondheid;Permanente vorming Geestelijke Gezondheidszorg en psychiatrie Module 3: Samen veerkrachtig in zorg
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Deegbereiding - La pâte (base)
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Devenir vérificateur qualifié d'extincteurs portatifs et mobiles
9;91;welzijn en gezondheid;gezondheid;Bachelor na bachelor in de creatieve therapie (schijf 1)
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Sociologie
8;80;land- en bosbouw, visserij en dierengeneeskunde;land- en bosbouw, visserij en dierengeneeskunde;Parcours vaste planten en heesters basis 6d
7;72;techniek, fabricage en constructie;fabricage en verwerking;yoghurt productie
4;41;handel, administratie en recht;handel en administratie;Uitbater Snack-tearoom
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Vaste planten, siergrassen en bamboes
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Autodesk Softimage - Initiation
9;91;welzijn en gezondheid;gezondheid;Herbronningsreeks voor verzorgenden - Herbron VZ5 te Herentals
4;40;handel, administratie en recht;handel, administratie en recht;Openbaar autobusondernemer
10;101;diensten;persoonlijke diensten;Formation moniteur sportif initiateur en activités physiques et sportives
7;72;techniek, fabricage en constructie;fabricage en verwerking;Ingenieurswetenschappen: textielkunde
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Certificat interuniversitaire en victimologie et psychotraumotologie
7;72;techniek, fabricage en constructie;fabricage en verwerking;Gestion de l'entrepôt
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Sécurité lors des interventions de maintenance
7;71;techniek, fabricage en constructie;techniek en technische beroepen;ELEKTRICIEN
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Conseiller en prévention: apprenez l'ABC pour vous simplifier la vie
9;91;welzijn en gezondheid;gezondheid;7-daagse permanente vorming neurvasculaire zorg
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Technicus elektromechanica
7;72;techniek, fabricage en constructie;fabricage en verwerking;Werken met rubber en kunststoffen 1d
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Hydraulica op land - en tuinbouwmachines 6d
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité Versleping
7;71;techniek, fabricage en constructie;techniek en technische beroepen;CNC bestuurde machines
2;22;kunst en menswetenschappen;menswetenschappen behalve talen;DES en Ressources Humaines
4;41;handel, administratie en recht;handel en administratie;Master complémentaire en notariat
9;91;welzijn en gezondheid;gezondheid;Oor-acupunctuur 
7;72;techniek, fabricage en constructie;fabricage en verwerking;"Continu;semi-continu stukverven/Teinture en continu; semi-continu"
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Equipement de travail : analyse des risques et mise en conformité
9;92;welzijn en gezondheid;welzijn;certificat donnant lieu au titre Personne de référence pour la démence
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Module: lean manufacturing
9;91;welzijn en gezondheid;gezondheid;Permanente vorming in de oncologie
7;72;techniek, fabricage en constructie;fabricage en verwerking;Opleiding inpakken (32u)
4;41;handel, administratie en recht;handel en administratie;Schakelprogramma: master handelswetenschappen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Basistechnieken elektriciteit
1;11;onderwijs;onderwijs;Instructiegeven-vervolmaking
7;71;techniek, fabricage en constructie;techniek en technische beroepen;SLIJPEN EN VOORBEREIDING DRUKPROEF
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Brandweerman deel 1-brandbestrijding/individuele bescherming
4;41;handel, administratie en recht;handel en administratie;Leandership Coaching
4;41;handel, administratie en recht;handel en administratie;Postgraduaat supervisie intervisie coaching
9;91;welzijn en gezondheid;gezondheid;Verkorte opleiding Voedings- en Dieetkunde
7;73;techniek, fabricage en constructie;architectuur en constructie;Professioneel plaatsten van afsluitingen 2 voll d
7;73;techniek, fabricage en constructie;architectuur en constructie;OPLEIDINGSTRAJECT VOOR WERFLEIDERS (STEAM)
9;91;welzijn en gezondheid;gezondheid;Omgaan met palliatieve zorgen - zorgregio Peer
9;91;welzijn en gezondheid;gezondheid;Professionele bachelor in de logopedie en de audiologie, afstudeerriching logopedie
4;41;handel, administratie en recht;handel en administratie;Master in het management en beleid van de gezondheidszorg
9;92;welzijn en gezondheid;welzijn;La méthode Montessori adaptée aux personnes âgées présentant des troubles cognitifs
4;41;handel, administratie en recht;handel en administratie;Niet verkozenen – niet mandaatgericht
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;NYRSTAR Belgium Masterclass Systemic Coaching-Systo
4;41;handel, administratie en recht;handel en administratie;BASISVAARDIGHEDEN LEIDINGGEVEN VOOR WERKVERDELERS
9;91;welzijn en gezondheid;gezondheid;Psychotherapie / Psychologisch consulent
7;73;techniek, fabricage en constructie;architectuur en constructie;Waterdoorlaatbare verhardingen
9;91;welzijn en gezondheid;gezondheid;Referentieverpleegkundige in de wondzorg
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Arbeidswelzijn Bien-être au travail Eerste hulp bij ongevallen (EHBO) voor bedrijven Opvolgmodule
7;71;techniek, fabricage en constructie;techniek en technische beroepen;SIEMENS: Masterdrive
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;mentoropleiding (bedienden bouwsector)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;A13 Verantwoordelijke verpakkingsmachine
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Permanente vorming Psychosociale rehabilitatie
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Mindfullnesstrainer voor kinderen (leeftijd 4-12 jaar)
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitsopleiding voor de kruidenafdeling
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Doorhalen (Automatisch)
9;92;welzijn en gezondheid;welzijn;Bachelor na bachelor (BANABA) + Navorming + Postgraduaat 'Geriatrie'
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Energiedeskundige type A
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Electrical Engineering
9;91;welzijn en gezondheid;gezondheid;Certificat de spécialisation d'assistent technique en ophtalmomogie
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité Achat et réception de matières premières 
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Wartmetechnikeen
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Aanvullende vorming preventieadviseur niveau II
